Part,Aid type,Amount type,Recipient,Donor,Year,Value,Flags
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Denmark","2008",-1.06,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Denmark","2009",-0.58,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Denmark","2010",-12.83,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Denmark","2011",-1.8,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Denmark","2012",-0.35,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2003",-2.02,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2004",-1,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2005",-1.58,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2006",-1.09,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2007",-1.2,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2008",-1.02,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2009",-0.57,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2010",-12.83,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2011",-1.71,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2012",-0.35,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Denmark","2003",0.26,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Denmark","2004",0.47,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Denmark","2005",0.19,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Denmark","2006",0.22,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Denmark","2007",0.1,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Denmark","2008",0.05,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Denmark","2010",0.2,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Denmark","2011",0.36,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Denmark","2012",0.18,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2003",0.37,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2004",0.59,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2005",0.23,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2006",0.26,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2007",0.11,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2008",0.05,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2010",0.2,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2011",0.34,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2012",0.18,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Denmark","2005",16.51,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Denmark","2006",8.81,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Denmark","2007",4.56,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Denmark","2008",2.68,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Denmark","2009",5.71,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Denmark","2010",2.52,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Denmark","2011",2.13,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Denmark","2012",0.6,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2005",20.12,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2006",10.42,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2007",4.83,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2008",2.59,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2009",5.66,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2010",2.52,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2011",2.02,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2012",0.6,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Denmark","2003",6.96,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Denmark","2004",4.85,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Denmark","2005",5.66,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Denmark","2006",4.08,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Denmark","2007",6.83,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Denmark","2008",7.94,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Denmark","2009",5.26,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Denmark","2010",5.29,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Denmark","2011",4.75,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Denmark","2012",3.68,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2003",9.8,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2004",6.07,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2005",6.9,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2006",4.83,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2007",7.23,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2008",7.66,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2009",5.22,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2010",5.29,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2011",4.5,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2012",3.68,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Denmark","2003",2.54,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Denmark","2004",13.21,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Denmark","2005",25.18,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Denmark","2006",39.1,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Denmark","2007",9.94,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Denmark","2008",22.18,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Denmark","2009",36.88,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Denmark","2010",10.71,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Denmark","2011",3.09,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Current Prices (USD millions)","Sri Lanka","Denmark","2012",1.6,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2003",3.57,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2004",16.54,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2005",30.69,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2006",46.26,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2007",10.53,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2008",21.4,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2009",36.57,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2010",10.71,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2011",2.93,
"1 : Part I - Developing Countries","Memo: ODA Total, Gross disbursements","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2012",1.6,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Denmark","2003",1.05,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Denmark","2004",12.41,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Denmark","2005",23.88,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Denmark","2006",38.18,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Denmark","2007",8.81,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Denmark","2008",21.12,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Denmark","2009",36.3,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Denmark","2010",-2.12,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Denmark","2011",1.29,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Current Prices (USD millions)","Sri Lanka","Denmark","2012",0.82,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2003",1.48,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2004",15.54,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2005",29.11,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2006",45.17,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2007",9.33,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2008",20.38,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2009",36,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2010",-2.12,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2011",1.22,
"1 : Part I - Developing Countries","Memo: ODA Total, excl. Debt","Constant Prices (2012 USD millions)","Sri Lanka","Denmark","2012",0.82,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2003",0.96,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2004",0.54,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2005",4.76,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2006",4.62,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2007",5.23,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2008",6.02,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2009",5.64,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2010",3.17,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2011",2.92,
"1 : Part I - Developing Countries","ODA: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2012",2.26,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2003",1.27,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2004",0.65,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2005",5.67,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2006",5.4,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2007",5.44,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2008",5.78,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2009",5.52,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2010",3.25,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2011",2.78,
"1 : Part I - Developing Countries","ODA: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2012",2.26,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Finland","2003",0.96,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Finland","2004",0.54,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Finland","2005",4.76,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Finland","2006",4.62,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Finland","2007",5.23,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Finland","2008",6.02,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Finland","2009",5.64,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Finland","2010",3.17,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Finland","2011",2.92,
"1 : Part I - Developing Countries","Grants, Total","Current Prices (USD millions)","Sri Lanka","Finland","2012",2.26,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2003",1.27,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2004",0.65,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2005",5.67,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2006",5.4,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2007",5.44,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2008",5.78,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2009",5.52,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2010",3.25,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2011",2.78,
"1 : Part I - Developing Countries","Grants, Total","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2012",2.26,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Current Prices (USD millions)","Sri Lanka","Finland","2003",-0.02,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Current Prices (USD millions)","Sri Lanka","Finland","2004",0.07,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Current Prices (USD millions)","Sri Lanka","Finland","2005",1.06,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Current Prices (USD millions)","Sri Lanka","Finland","2006",1.49,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Current Prices (USD millions)","Sri Lanka","Finland","2007",1.76,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Current Prices (USD millions)","Sri Lanka","Finland","2008",4.37,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Current Prices (USD millions)","Sri Lanka","Finland","2009",3.43,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Current Prices (USD millions)","Sri Lanka","Finland","2010",1.98,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Current Prices (USD millions)","Sri Lanka","Finland","2011",1.73,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Current Prices (USD millions)","Sri Lanka","Finland","2012",1.37,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2003",-0.03,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2004",0.08,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2005",1.26,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2006",1.74,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2007",1.83,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2008",4.19,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2009",3.36,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2010",2.03,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2011",1.65,
"1 : Part I - Developing Countries","AF/Interest Subsidies","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2012",1.37,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2003",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2004",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2005",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2006",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2007",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2008",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2009",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2010",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2011",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Current Prices (USD millions)","Sri Lanka","Finland","2012",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2003",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2004",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2005",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2006",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2007",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2008",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2009",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2010",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2011",0,
"1 : Part I - Developing Countries","ODA Loans: Total Net","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2012",0,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Finland","2003",0.1,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Finland","2004",0.09,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Finland","2005",1.96,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Finland","2006",1.63,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Finland","2007",0.86,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Finland","2008",0.49,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Finland","2009",0.73,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Finland","2010",0.79,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Finland","2011",0.92,
"1 : Part I - Developing Countries","Technical Cooperation","Current Prices (USD millions)","Sri Lanka","Finland","2012",0.7,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2003",0.13,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2004",0.11,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2005",2.33,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2006",1.91,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2007",0.9,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2008",0.47,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2009",0.72,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2010",0.81,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2011",0.88,
"1 : Part I - Developing Countries","Technical Cooperation","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2012",0.7,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Finland","2003",0.17,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Finland","2004",0.2,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Finland","2005",0.15,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Finland","2007",0.27,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Finland","2008",0.42,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Finland","2009",1.01,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Finland","2010",0.4,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Finland","2011",0.35,
"1 : Part I - Developing Countries","Humanitarian Aid","Current Prices (USD millions)","Sri Lanka","Finland","2012",0.19,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2003",0.22,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2004",0.24,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2005",0.18,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2007",0.28,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2008",0.4,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2009",0.99,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2010",0.41,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2011",0.33,
"1 : Part I - Developing Countries","Humanitarian Aid","Constant Prices (2012 USD millions)","Sri Lanka","Finland","2012",0.19,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Finland","2003",2.38,
"1 : Part I - Developing Countries","Imputed Multilateral ODA","Current Prices (USD millions)","Sri Lanka","Finland","2004",1.49,
